plot_id,soil_type,soil_ph,rain_mm,avg_temp,sun_hours,seed_mass_mg,sprouted
P001,loam,8.5,42,16.7,8,70,no
P002,loam,7.4,28,25.3,11,26,yes
P003,loam,5.1,64,24.9,6,40,yes
P004,clay,8.5,41,25.3,7,18,no
P005,loam,5.8,65,11.8,7,42,no
P006,clay,5.1,28,19.6,8,30,no
P007,loam,8.2,47,24.3,9,62,no
P008,loam,8.4,8,29.2,5,51,no
P009,clay,6.5,65,17.9,4,60,no
P010,loam,4.8,20,23.8,9,19,no
P011,sand,6.7,51,21,4,16,no
P012,sand,7.8,36,25.9,12,88,no
P013,clay,8.5,41,10.9,4,19,no
P014,sand,8.2,26,23.4,7,43,no
P015,loam,7.4,28,19.8,9,52,yes
P016,clay,6.6,35,27,4,25,yes
P017,sand,6.6,58,29.7,3,52,no
P018,clay,7,22,28.5,8,17,yes
P019,clay,5.1,59,6.2,5,43,no
P020,sand,8.4,25,11.3,11,61,no
P021,clay,7.4,16,13.9,11,16,no
P022,loam,7.8,36,25.6,11,19,no
P023,clay,7,6,6.1,10,79,no
P024,sand,7.5,40,9.3,3,67,yes
P025,clay,6.8,23,13.6,8,68,yes
P026,clay,7.5,2,31.4,7,57,yes
P027,clay,7.3,51,18.3,4,41,no
P028,loam,6.3,46,31.6,4,60,yes
P029,loam,7.8,45,21.1,12,37,no
P030,clay,7.3,48,30.2,9,46,yes
P031,loam,6.7,70,21.6,4,61,no
P032,clay,8.5,41,17.3,8,64,no
P033,loam,8.3,18,13.3,6,64,no
P034,sand,5.5,7,10.9,9,34,yes
P035,loam,5.5,37,12.2,6,52,no
P036,clay,6.4,48,22.5,8,68,yes
P037,sand,6,37,22.2,10,19,yes
P038,clay,7.3,18,7.8,5,82,no
P039,sand,7,54,7.1,8,43,no
P040,loam,6.4,47,10.1,11,37,no
P041,clay,5.2,23,10.9,6,76,no
P042,sand,7.5,5,24.3,8,61,no
P043,clay,6.3,63,22.1,8,89,no
P044,clay,6.8,7,32.3,2,85,yes
P045,loam,8,4,16.3,3,85,no
P046,loam,6.1,25,12.9,10,66,no
P047,clay,5.1,6,12.2,10,86,yes
P048,clay,4.9,35,24.2,8,32,yes
P049,clay,6.8,14,18.1,7,72,yes
P050,clay,5.9,12,17.1,7,47,yes
P051,sand,5.5,15,18.2,5,26,no
P052,clay,5.7,65,10.8,10,78,no
P053,clay,5.7,50,25.2,9,82,no
