field_id,irrigation,soil_n_ppm,soil_ph,frost_days,shade_pct,sow_day,emerged
F-1001,drip,54,6.4,3,30,137,Y
F-1002,drip,44,7,7,70,131,N
F-1003,flood,37,5.7,7,90,139,N
F-1004,flood,36,7.3,4,25,69,N
F-1005,flood,84,5.3,1,12,121,N
F-1006,drip,42,8,4,72,98,N
F-1007,drip,43,8,6,48,104,N
F-1008,none,54,6.8,6,86,86,N
F-1009,drip,9,7.9,8,23,96,N
F-1010,none,34,5.9,4,25,128,N
F-1011,flood,82,7.5,6,56,120,N
F-1012,flood,38,8.1,3,15,68,N
F-1013,none,33,5.1,7,28,110,N
F-1014,none,65,6.8,3,29,80,N
F-1015,none,78,7.8,5,7,134,N
F-1016,flood,30,5.5,1,52,108,Y
F-1017,drip,54,6,5,71,87,N
F-1018,drip,16,6.7,6,54,121,N
F-1019,flood,47,7.4,8,83,128,N
F-1020,none,46,7,6,31,134,N
F-1021,flood,61,7.2,4,0,101,N
F-1022,none,11,5.8,6,45,117,N
F-1023,flood,46,6.1,4,15,111,Y
F-1024,drip,43,8,3,63,75,N
F-1025,flood,63,5.4,2,90,132,N
F-1026,drip,26,8.4,8,48,92,N
F-1027,drip,29,7.4,2,57,109,N
F-1028,none,71,7.5,6,87,66,N
F-1029,drip,77,6.5,3,13,61,N
F-1030,drip,59,8.3,7,34,129,N
F-1031,flood,75,5.2,2,36,78,N
F-1032,flood,20,6.2,4,75,69,N
F-1033,drip,63,5.2,6,41,63,N
F-1034,none,48,5.6,0,80,108,N
F-1035,drip,81,5,3,82,133,N
F-1036,drip,19,8,5,67,86,Y
F-1037,drip,27,7.5,2,26,67,Y
F-1038,flood,50,8.1,6,63,121,N
F-1039,drip,16,7.8,4,58,137,N
F-1040,drip,30,5.6,6,54,73,N
F-1041,drip,18,6.4,6,52,70,N
F-1042,drip,80,8.1,3,54,132,N
F-1043,flood,21,6.2,3,6,74,N
F-1044,flood,11,6.6,8,71,92,N
F-1045,drip,69,7,8,90,79,N
F-1046,none,68,8.1,2,21,109,N
F-1047,flood,56,7.8,2,89,132,N
F-1048,none,83,8.3,1,16,70,N
F-1049,flood,54,7.4,6,50,80,N
F-1050,none,84,5.2,6,36,118,N
F-1051,none,29,5.6,7,60,136,N
F-1052,flood,19,6.2,1,39,127,N
F-1053,drip,39,5.7,5,65,110,N
F-1054,flood,17,6.6,4,89,125,N
F-1055,drip,11,6.6,4,19,70,Y
F-1056,drip,74,7.2,5,21,61,N
F-1057,drip,57,8.3,1,13,100,N
F-1058,drip,18,7.7,5,34,130,N
F-1059,none,56,6.9,3,73,122,Y
F-1060,drip,47,6.2,2,22,85,Y
F-1061,drip,57,7,1,29,130,Y
F-1062,drip,24,6.3,3,30,77,Y
F-1063,none,7,5.1,0,40,88,N
F-1064,drip,28,5.5,0,44,129,Y
F-1065,flood,66,8,1,62,90,N
F-1066,flood,15,6.6,2,19,87,N
F-1067,drip,69,5.5,8,53,111,N
F-1068,drip,32,5,3,82,61,N
F-1069,none,55,6.9,6,57,86,N
F-1070,none,51,6.2,5,44,135,N
F-1071,drip,19,7.4,5,37,62,N
F-1072,flood,65,5.6,2,72,77,Y
F-1073,drip,42,6.5,1,10,132,Y
F-1074,drip,38,6.6,6,35,62,N
F-1075,none,79,6.9,5,81,139,N
F-1076,none,16,7.1,5,87,117,N
F-1077,flood,22,6.1,6,3,79,N
F-1078,drip,36,7.4,4,75,134,N
F-1079,none,37,7.7,4,75,123,N
F-1080,none,55,8.2,5,27,96,N
F-1081,none,21,6.7,3,10,118,N
