sample_id,tray,soil_moisture,temperature,light_hours,seed_weight,sow_depth,germinated
1,B,19,28.4,11,26.2,4,0
2,A,11,8.3,5,76,1.5,0
3,B,45,13.7,3,31.6,2.9,0
4,A,62,29.5,7,50.6,2.1,0
5,A,48,7.5,11,65.8,2.9,1
6,B,31,19.5,11,72.9,1.1,1
7,A,13,20.7,12,69.9,3,0
8,D,26,25.7,4,72.7,2.1,1
9,A,28,33.2,12,19.1,4.2,0
10,B,14,26,12,47.1,0.7,1
11,B,48,19.6,2,75.5,4.1,0
12,D,45,25.6,3,74.5,4.2,1
13,D,34,30.6,13,66.5,3.5,0
14,C,25,11.5,13,56.6,4.3,0
15,A,57,18.4,13,45.3,2.6,0
16,B,48,28,9,71.7,3.2,1
17,D,22,6.7,1,36.4,2.6,0
18,B,33,18.9,8,40.6,2.6,1
19,B,41,23.3,5,20.1,3.2,1
20,C,13,12.3,3,62,4.8,0
21,C,62,33.9,4,79,0.7,1
22,A,41,11.7,1,71.3,4.6,1
23,C,26,24.9,11,22.8,1.4,1
24,C,28,20.3,6,32.2,2.8,1
25,D,32,9.3,7,34.5,3.9,0
26,A,14,10.1,3,67.6,2.3,0
27,B,16,31.2,10,43.3,3.8,0
28,D,28,31.3,6,60.1,1.5,0
29,A,49,15.5,11,68.6,3.9,0
30,C,54,6.2,0,27.1,4.8,0
31,B,39,30.2,3,52.9,4.1,0
32,C,54,25.2,2,43.2,1.1,1
33,B,33,33.1,2,76.1,1.9,0
34,A,54,28.5,10,72.6,3.5,0
35,C,11,16.1,7,66.5,1.6,0
36,B,39,13.1,10,18,1.3,0
37,A,52,13.2,7,31.6,2.1,0
38,C,48,29.8,11,80.8,3.9,0
39,A,44,26.4,2,42.1,1.9,1
40,C,48,12.5,5,60.8,2.2,0
41,C,48,17.1,2,40.9,3.9,1
42,D,28,29,4,37.9,4.7,0
43,D,27,28.8,6,68.6,1,1
44,C,43,15.2,5,21.2,3,0
45,C,55,9.2,13,73,3.4,0
46,A,17,29.7,7,38.5,1.1,1
47,B,48,17,12,73.3,0.7,1
48,D,17,29,9,37.7,0.7,0
49,D,30,14.2,11,20.1,3.6,0
50,B,43,16.8,12,76.7,4.4,1
51,B,57,22.3,12,60.4,3.5,0
52,C,45,29.1,1,56.7,1.7,0
53,B,12,13.3,9,79.8,1.6,0
54,B,32,8.9,3,53.2,0.7,0
55,A,17,31,5,43.5,1.7,0
56,D,18,30,10,37.3,1.2,0
57,B,21,6,2,24.7,3.7,0
58,D,17,11.7,6,59.5,0.9,0
59,C,13,10.3,4,36.3,2.2,1
60,A,25,17,12,72,0.8,1
61,B,9,32.4,4,40.2,3.7,0
62,C,45,33.3,0,44.6,3.9,0
63,D,21,22.3,1,75.1,3,0
64,D,47,20,4,75.7,1.8,1
65,A,24,29.3,10,30.4,2.9,0
66,A,61,12.1,13,52.4,1.6,0
67,C,33,11.3,4,66.4,0.9,0
68,B,11,31.6,12,26.4,4.1,0
69,A,54,6.1,9,25.4,1.4,0
70,A,38,33.1,13,57.3,3.1,0
71,A,14,15,8,70.7,3.2,0
72,D,41,25.1,5,59.8,0.6,1
73,A,29,17.8,8,18.5,1.2,1
74,B,13,32.2,2,33.3,0.9,0
75,D,41,25.3,5,48.6,1,0
76,D,11,24.9,7,37.4,3.8,0
77,B,23,6.1,7,57.9,4.9,0
78,C,31,7.3,10,27.3,3.7,0
79,B,49,32,5,66.5,0.8,0
80,C,30,25.9,13,68.6,4.2,1
81,B,23,28.9,14,68.9,1.8,1
82,C,9,27.3,5,53.2,2.4,0
83,A,24,12.5,3,50.2,4.9,0
84,A,48,33.4,10,50.8,2.3,0
85,A,23,24.5,11,60.8,4,0
86,A,60,15.6,0,71,1.6,0
87,D,9,10.6,12,37.1,3.8,0
88,A,15,30.6,14,37.3,1.1,0
89,D,56,21.2,4,37.4,1.5,0
90,C,11,8.9,1,60.3,1.4,0
91,D,10,10.7,6,61.8,2.3,0
92,B,41,18.5,1,41.3,0.8,0
93,C,40,28.8,3,76,4.8,0
94,D,42,11.8,7,60,4.6,0
95,C,33,19,4,76.1,3,1
96,D,61,31.2,4,74.5,3.9,1
97,D,12,11.8,1,68.6,4.6,1
98,A,58,24.9,1,33.7,1.4,0
99,B,28,24.2,11,81.3,1.7,1
100,B,19,7.7,5,31.5,2,0
101,A,48,17.6,3,81.2,2.3,1
102,D,16,14,1,36.6,4.1,0
103,A,47,14.8,0,23.6,1.4,1
104,C,51,12.8,11,80.4,0.7,0
105,A,55,20.5,0,30.2,2.1,1
106,D,18,17.7,11,35.9,1.8,0
107,C,16,9.1,6,58.4,1.1,0
108,D,55,31.6,0,71.6,0.8,0
109,C,53,30.3,1,69.6,3.9,0
110,A,22,33.9,2,53.3,1.4,0
111,A,52,25.3,2,48.2,1.5,1
112,C,38,21.4,1,21.5,0.6,0
113,B,58,9,3,32.2,4.3,1
114,C,28,19.7,10,56.9,2,1
115,D,58,14,12,50.6,0.9,0
116,B,16,26.8,1,57.3,4.3,0
117,C,23,27.1,5,26.1,1.5,1
118,D,39,23.6,2,25.5,1.9,1
119,A,15,24,0,66.8,3.5,0
120,D,24,27.8,10,74.2,2.3,0
121,C,23,28.4,3,71.2,0.7,1
122,B,39,21.5,14,70.2,2.5,1
123,A,24,11.5,0,45.9,2.8,1
124,D,30,24.4,2,53.3,1,0
125,A,26,27,11,76.6,3.1,1
126,A,38,14.4,1,69.1,4,1
127,C,41,22.2,5,54.6,2.7,1
128,D,10,28.7,2,76.5,1.1,0
129,C,23,22.1,6,66.8,2.3,1
130,B,8,26.7,3,61.9,4.7,0
131,D,26,6.4,7,59,3.4,0
132,B,14,25.7,6,47.8,1.9,0
133,D,61,26.3,8,43.5,4.1,0
134,C,26,22.2,13,30.4,3.5,0
135,C,42,25.5,1,47.9,0.7,0
136,A,28,7,14,50.3,0.9,0
137,A,19,19.4,14,30.1,0.5,0
138,D,37,25.6,1,30.3,2.9,1
139,B,60,25,8,78.1,3.2,0
140,B,37,33.3,3,58,4.3,0
141,C,39,26.6,9,77.6,1.2,1
142,D,34,31,9,33.7,3.5,0
143,A,39,6.5,5,72.9,2.9,0
144,B,39,14.5,10,55.5,4.7,0
145,D,54,23.2,3,49.2,1.8,0
146,A,51,25.9,10,37.5,2.8,0
147,B,56,11.8,11,47.6,0.6,0
148,C,43,20.8,6,58.7,3.9,0
149,C,31,32.5,10,62.3,0.5,0
150,A,23,24.6,3,48.3,4.7,1
151,C,26,7.9,7,25.1,1.6,0
152,A,38,25.1,4,65.9,1.9,1
153,A,49,32,8,63.8,3.2,1
154,D,47,23.3,4,27.2,4.4,1
155,B,27,26.1,4,74.3,4.6,1
156,D,25,14.9,6,75.8,3.5,1
157,A,56,6.1,8,35,2.2,0
158,A,32,21,6,75.4,4.4,0
159,B,18,27.9,12,25.3,3.7,0
160,C,56,8.9,4,74.6,4,1
161,C,56,27.4,1,51,1.9,0
162,B,25,25.2,11,24.6,3.6,1
163,D,61,23.3,8,68.2,4.9,0
164,C,19,31.1,11,41.9,1,0
165,B,58,8.8,4,31.3,2.2,0
166,B,15,23.1,8,28.1,1.2,0
167,B,20,13.8,10,39.1,4.4,0
168,B,45,15.9,1,23.4,2.8,0
169,D,40,14.8,6,39,4.2,0
170,D,28,9.7,10,36.1,0.5,0
171,C,36,19.9,2,54.1,4.8,0
172,C,23,26.6,9,52.2,3,1
173,D,46,31,13,80.2,4.9,0
174,D,42,21.3,4,72.7,4.2,1
175,B,11,26.7,13,77.1,0.8,0
176,C,48,18.7,12,38.9,4,0
177,B,33,19.1,2,45.8,2,1
178,C,30,18,5,46.7,2.1,1
179,A,53,20.9,4,26.4,1.1,0
180,D,20,19.5,11,39,3.1,1
181,C,15,12.1,8,43,4.5,0
182,A,53,22.6,2,63.9,3.4,0
183,A,53,15.9,12,52.1,4.1,0
184,D,36,16.5,4,20.4,4.6,1
185,A,16,9.7,13,25.5,1.9,1
186,C,53,16.3,10,81.1,1.2,0
187,C,21,32.8,12,35.5,2,0
188,C,14,22.3,9,39,0.6,0
189,C,34,21.9,11,58.7,2.9,1
190,B,9,31,2,49.2,1.7,1
191,C,47,20.1,11,43.8,1.8,1
192,D,42,20.5,5,65,1.5,1
193,D,39,31,8,41.7,1.9,0
194,A,28,12,5,26.6,4.6,0
